plant_part_name,ferc_acct,utility_id_pudl,plant_id_pudl,utility_name_ferc1,row_literal,utility_id_ferc1,report_year,spplmnt_num,row_number,row_seq,row_prvlg,acct_num,plant_balance,total_life_avg,net_salvage_rate,depreciation_annual_rate,survivor_curve_type,remaining_life_avg,common
STEAM,0,29,,Appalachian Power Company,Line 12,6,2018,0,12,12,,STEAM,,0,0,0,,0,
Amos U1&2,311,29,16,Appalachian Power Company,Line 13,6,2018,0,13,13,,311 - Amos U1&2,54897,0,0,0,,0,
Amos U3,311,29,16,Appalachian Power Company,Line 14,6,2018,0,14,14,,311 - Amos U3,110773,0,0,0,,0,
Central Plt Maint,311,29,,Appalachian Power Company,Line 15,6,2018,0,15,15,,311 - Central Plt Maint,86,0,0,0,,0,
Clinch River,311,29,114,Appalachian Power Company,Line 16,6,2018,0,16,16,,311 - Clinch River,26424,0,0,0,,0,
Little Broad Mtn,311,29,,Appalachian Power Company,Line 17,6,2018,0,17,17,,311 - Little Broad Mtn,267,0,0,0,,0,
Mountaineer,311,29,399,Appalachian Power Company,Line 18,6,2018,0,18,18,,311 - Mountaineer,199903,0,0,0,,0,
Amos U1&2,312,29,16,Appalachian Power Company,Line 19,6,2018,0,19,19,,312 - Amos U1&2,1335540,0,0,0,,0,
Amos U1&2 SCR,312,29,16,Appalachian Power Company,Line 20,6,2018,0,20,20,,312 - Amos U1&2 SCR,20163,0,0,0,,0,
Amos U3,312,29,16,Appalachian Power Company,Line 21,6,2018,0,21,21,,312 - Amos U3,1550719,0,0,0,,0,
Amos U3 SCR,312,29,16,Appalachian Power Company,Line 22,6,2018,0,22,22,,312 - Amos U3 SCR,17385,0,0,0,,0,
Clinch River,312,29,114,Appalachian Power Company,Line 23,6,2018,0,23,23,,312 - Clinch River,213831,0,0,0,,0,
Little Broad Mtn,312,29,,Appalachian Power Company,Line 24,6,2018,0,24,24,,312 - Little Broad Mtn,50334,0,0,0,,0,
Mountaineer,312,29,399,Appalachian Power Company,Line 25,6,2018,0,25,25,,312 - Mountaineer,1136680,0,0,0,,0,
