report_year,data_source,utility_id_pudl,plant_id_eia
2015,FERC,222,997
2015,FERC,222,6085
2015,MODERNIZED,81,1710
2015,PUC,18,2
2015,PUC,31,116
2015,PUC,63,96
2015,PUC,63,6293
2016,FERC,106,168
2016,FERC,106,169
2016,FERC,106,170
2016,FERC,106,6009
2016,FERC,106,8055
2016,FERC,106,55467
2016,FERC,109,2051
2016,FERC,109,6641
2016,FERC,113,1393
2016,FERC,113,3457
2016,FERC,113,3459
2016,FERC,246,3659
2016,FERC,246,3661
2016,FERC,313,645
2016,FERC,365,4078
2016,Hybrid,365,4078
2016,PUC,130,643
2016,PUC,144,6166
2016,PUC,349,6168
2017,FERC,330,2451
2017,FERC,330,4941
2017,FERC,330,8223
2017,MODERNIZED,81,1710
2017,PUC,123,649
2017,PUC,123,6124
2017,PUC,178,2176
2017,PUC,178,6089
2018,FERC,89,6034
2018,FERC,144,6166
2018,FERC,150,1077
2018,FERC,160,1240
2018,FERC,160,1241
2018,FERC,162,3948
2018,FERC,185,56809
2018,FERC,263,3048
2018,FERC,263,6106
2018,FERC,275,2965
2018,FERC,364,7203
2018,PUC,97,6014
2018,PUC,121,207
2018,PUC,121,612
2019,FERC,7,6166
2019,FERC,109,55218
2019,PUC,222,6085
2020,PUC,185,7985
